Frame,Raw_X,Calib_X,Error_X,Raw_Y,Calib_Y,Error_Y,Raw_Z,Calib_Z,Error_Z,Euclidean_Error
73,0.5814557671546936,0.5814574956893921,-1.7285346984863281e-06,0.2694699168205261,0.26947134733200073,-1.430511474609375e-06,-0.442146897315979,-0.4619174897670746,0.01977059245109558,0.019770592578410816
74,0.581467866897583,0.5814157128334045,5.21540641784668e-05,0.26950132846832275,0.2695034146308899,-2.086162567138672e-06,-0.4473700225353241,-0.45661255717277527,0.009242534637451172,0.009242682020007465
75,0.5814148187637329,0.5813760757446289,3.8743019104003906e-05,0.2695050835609436,0.26950499415397644,8.940696716308594e-08,-0.4412781298160553,-0.4530355930328369,0.011757463216781616,0.011757527049660384
76,0.5813736319541931,0.5812134146690369,0.00016021728515625,0.26951420307159424,0.2695184350013733,-4.231929779052734e-06,-0.4459152817726135,-0.45006033778190613,0.0041450560092926025,0.004148153421447333
77,0.5812401175498962,0.5811629891395569,7.712841033935547e-05,0.2695203423500061,0.2695157825946808,4.559755325317383e-06,-0.44899895787239075,-0.4495667815208435,0.0005678236484527588,0.000573056086951622
78,0.5811623334884644,0.5810849070549011,7.742643356323242e-05,0.2695147693157196,0.26946714520454407,4.762411117553711e-05,-0.44362568855285645,-0.4440344274044037,0.0004087388515472412,0.0004187246796449181
79,0.5810853838920593,0.5809314846992493,0.0001538991928100586,0.2694706618785858,0.2694628834724426,7.778406143188477e-06,-0.4442797303199768,-0.4446219205856323,0.0003421902656555176,0.00037528608162188705
80,0.5809504389762878,0.5808910727500916,5.936622619628906e-05,0.2694631814956665,0.2694530189037323,1.0162591934204102e-05,-0.4414708912372589,-0.44437071681022644,0.0028998255729675293,0.0029004509960907925
81,0.5808987021446228,0.580828070640564,7.063150405883789e-05,0.26945731043815613,0.26944664120674133,1.0669231414794922e-05,-0.4407802224159241,-0.43856698274612427,-0.0022132396697998047,0.002214392123775765
82,0.5808430314064026,0.5808007121086121,4.2319297790527344e-05,0.26944831013679504,0.2694326937198639,1.5616416931152344e-05,-0.43877941370010376,-0.44484272599220276,0.006063312292098999,0.006063480085475838
